1-2,Estructural,Fragmentada,Viruta,Bote_Fragmentado,Escarpa,Conos_y_Tortas,ARRABIO,1-2_Importacion,Estanada,Otras_Chatarras,OxigenoMecheros_per_ton_control,GasMecheros_per_ton_control,GrafitoTotal_per_ton_control,OxigenCojetTotal_per_ton_control,TiempoOnTotal_state,TiempoOffTotal_state,SalidaHornoCucharaTemp_state,Cargo_Total_state,NivelEscoria_output,EnergiaVuelco_output,PromedioEscoriaEspumante_output,TiempoEscoriaEspumante_output,PotenciaActiva_per_ton_output
26.214238190286093,19.560878243512974,36.72654690618762,7.984031936127744,0.0,0.0,0.0,0.0,0.0,9.514304723885562,0.0,0.13972055888223553,0.0,0.9580838323353292,6.526946107784431,3592,2557,1623.0,150.3,,65610.0,32.0,8.0,436.5269461077844
36.6021632280025,9.571888110881627,20.601760231435172,8.90334559114559,6.257960981296642,4.044358407875705,0.0,0.0,10.03101634295008,3.9867874696853027,0.0,0.05757093819040148,0.0,2.5043358112824645,17.91175814448866,2506,33,1605.0,138.959,0.0,53595.0,59.0,61.0,385.6893040393209
42.07328937412172,8.022916441465789,19.05235470039275,7.313803913090476,7.113465210968185,2.783843188123807,0.0,0.0,10.70370770727489,2.9366194645623898,0.0,0.057651425071163484,0.0,2.5078369905956115,18.261088891291035,2565,77,1605.0,138.765,0.0,54060.0,57.0,45.0,389.5795049183872
33.47854671030292,8.185410751569533,23.8785698288505,8.287999306443574,8.564699422758766,7.053324374896147,0.0,0.0,10.552172059790342,0.0,0.0,0.06502091506101129,0.0,2.564713871851001,17.331686136818455,2514,33,1605.0,138.417,0.0,54030.0,69.0,264.0,390.34222674960444
39.8742047426258,7.0691150954308855,21.412666281087333,9.915413533834586,6.309282822440718,3.777472527472528,0.0,0.0,7.518074031231925,4.126662810873338,0.0,0.06506651243493349,0.0,1.7929438982070562,16.57027183342973,2469,576,1594.0,138.32,0.0,51555.0,62.0,59.0,372.6142278773858
35.54413926276047,8.814162607718245,23.0019886445514,9.228463555927025,6.834884860362567,4.095454938467302,0.0,0.0,9.800559126149235,2.6796264806755623,0.0,0.07205233881891805,0.0,2.2336225033864596,17.724875349453843,2481,739,1602.0,138.788,0.0,52515.0,71.0,216.0,378.3828573075482
39.95614518976169,9.191582082965578,18.02115511915269,4.99641438658429,8.597197705207414,6.5127151368049425,0.0,0.0,8.690975286849072,4.033125551632833,0.0,0.05516328331862312,0.0,1.6204214474845542,17.03855913503972,2498,30,1600.0,145.024,0.0,52575.0,50.0,0.0,362.52620255957635
36.4305015678511,8.615233443636836,23.43973527159227,8.022051067150267,7.114575957689695,2.8004566276028493,0.0,0.0,9.407829140355188,4.169616924121787,0.0,0.057800962386023724,0.0,1.3005216536855337,16.552750603297543,2410,36,1601.0,138.406,0.0,50025.0,63.0,132.0,361.4366429201046
39.192175330556054,7.350842238724869,19.734106140191994,8.841151965223691,6.224234740083317,7.42908893316428,0.0,0.0,7.316790436515124,3.910885709110668,0.0,0.08694077159934795,0.0,1.7170802390871218,17.424379641369317,2405,30,1594.0,138.025,0.0,50025.0,53.0,59.0,362.4343416047817
35.83005734482634,8.98907202365925,19.584520503480363,9.142712879143074,6.770296101273127,5.7568435099361634,0.0,0.0,9.76809607963357,4.159122876618459,0.0,0.5337757420564793,0.24524831391784183,0.7357449417535254,15.104410863057671,2239,33,1588.0,138.635,0.0,49080.0,68.0,213.0,354.02315432610817
