1-2;Estructural;Fragmentada;Viruta;Bote_Fragmentado;Escarpa;Conos_y_Tortas;ARRABIO;1-2_Importacion;Estanada;Otras_Chatarras;Cargo_Total;SalidaHornoCucharaTemp;TiempoOnTotal;TiempoOffTotal;OxigenoMecheros;GasMecheros;GrafitoTotal;OxigenCojetTotal;SecuenciaEsPrimera_num;PotenciaActiva
61.239;20.9;22.032;9.089;8.918;0.0;0.0;0.0;11.137;5.523;0.0;138.838;1581.0;2326;62;8;0;126;2333;0;48045
55.766;22.675;23.133;10.735;9.288;0.0;0.0;0.0;10.846;0.0;0.0;132.443;1587.0;2332;68;7;0;171;2308;0;48045
58.61;20.628;14.722;13.829;10.714;0.0;0.0;0.0;9.76;5.16;0.0;133.424;1588.0;2337;65;8;0;152;2297;0;48030
58.618;22.902;16.635;13.144;8.373;0.0;0.0;0.0;8.714;4.981;0.0;133.366;1581.0;2309;65;7;0;154;2269;0;48045
60.646;21.041;15.362;10.264;4.459;0.0;0.0;0.0;14.806;11.321;0.0;137.9;1577.0;2351;71;7;0;105;2333;0;48045
73.696;27.118;18.363;0.0;4.541;0.0;0.0;0.0;10.932;3.641;0.0;138.292;1575.0;2402;144;8;0;113;2325;0;48075
68.827;21.252;17.67;11.705;4.415;0.0;0.0;0.0;10.802;4.0;0.0;138.671;1572.0;2317;313;8;0;157;2275;0;48060
74.194;24.188;17.074;0.0;5.433;0.0;0.0;0.0;10.889;7.0;0.0;138.778;1584.0;2385;71;8;0;103;2341;0;48060
60.79;25.669;17.598;0.0;10.59;0.0;0.0;0.0;8.733;5.0;0.0;128.38;1581.0;2354;60;7;0;127;2197;0;48030
55.056;21.203;17.459;11.64;5.945;0.0;0.0;0.0;9.125;7.0;0.0;127.427;1580.0;2270;62;76;35;115;2089;0;47055
65.678;23.93;19.371;0.0;4.448;0.0;0.0;0.0;9.288;6.153;0.0;128.869;1572.0;2253;65;76;35;100;2037;0;46530
72.013;21.493;18.086;0.0;5.597;0.0;0.0;0.0;12.076;6.326;0.0;135.588;1602.0;2247;65;10;0;122;2079;0;47040
73.129;20.023;16.915;0.0;4.181;0.0;0.0;0.0;14.934;5.784;0.0;134.964;1623.0;2236;68;8;0;105;1985;1;47040
73.129;20.023;16.915;0.0;4.181;0.0;0.0;0.0;14.934;5.784;0.0;134.964;1623.0;2236;68;8;0;105;1985;1;47040
47.957;25.757;17.026;0.0;5.869;0.0;0.0;0.0;9.827;5.04;0.0;111.476;1595.0;2306;8781;11;0;373;2596;0;47115
72.182;23.709;16.521;0.0;8.319;0.0;0.0;0.0;10.034;4.823;0.0;135.588;1587.0;2191;94;7;0;127;1939;0;46650
70.235;25.503;19.818;0.0;5.526;0.0;0.0;0.0;13.012;4.378;0.0;138.473;1597.0;2289;68;8;0;191;2046;0;47535
71.795;18.647;20.239;0.0;4.829;0.0;0.0;0.0;13.736;5.583;0.0;134.83;1581.0;2360;65;7;0;88;2045;0;46995
65.903;27.44;18.885;0.0;5.923;0.0;0.0;0.0;10.911;6.109;0.0;135.171;1584.0;2244;68;8;0;70;1995;0;47040
70.427;24.924;15.321;0.0;4.905;0.0;0.0;0.0;14.117;5.936;0.0;135.63;1587.0;2281;65;8;0;93;2044;0;47010
72.099;23.487;13.364;0.0;5.739;0.0;0.0;0.0;15.609;5.795;0.0;136.09;1582.0;2354;68;7;0;104;2072;0;47070
77.542;25.627;21.232;0.0;0.0;0.0;0.0;0.0;0.0;5.794;0.0;130.195;1593.0;2495;1055;10;0;158;2453;0;49815
48.739;21.458;10.189;0.0;0.0;0.0;0.0;0.0;9.836;0.0;0.0;90.221;1582.0;1721;153;5;0;0;2246;0;34350
88.845;19.486;29.427;0.0;0.0;0.0;0.0;0.0;13.211;4.265;0.0;155.235;1613.0;3946;35;13;0;137;1250;1;69075
71.693;19.567;19.214;8.565;4.034;0.0;0.0;0.0;11.275;4.298;0.0;138.645;1597.0;2641;82;8;0;294;2558;0;53130
64.997;20.644;18.904;12.385;5.191;0.0;0.0;0.0;11.101;4.606;0.0;137.827;1595.0;2756;2676;15;0;357;2638;0;55575
65.337;24.052;16.879;11.843;4.449;0.0;0.0;0.0;12.266;3.928;0.0;138.754;1593.0;2458;79;7;0;312;2434;0;52710
62.696;24.219;17.54;13.433;4.296;0.0;0.0;0.0;12.822;2.745;0.0;137.749;1592.0;2312;65;0;0;160;2137;0;49005
76.018;17.014;16.292;10.128;3.904;0.0;0.0;0.0;12.506;3.868;0.0;139.73;1586.0;2286;71;7;0;181;2143;0;49050
59.049;22.677;19.646;11.692;5.03;0.0;0.0;0.0;13.573;6.229;0.0;137.895;1584.0;2362;175;7;0;107;2181;0;49020
59.049;22.677;19.646;11.692;5.03;0.0;0.0;0.0;13.573;6.229;0.0;137.895;1584.0;2362;175;7;0;107;2181;0;49020
61.658;21.805;21.431;10.302;4.105;0.0;0.0;0.0;14.128;3.88;0.0;137.308;1585.0;2433;839;9;0;188;2213;0;49080
