time,month,temperature
374,2,-12.8
375,3,-14.7
376,4,-10.1
377,5,-3.7
378,6,2.2
379,7,4.7
380,8,3.4
381,9,0.7
382,10,-3.3
383,11,-7.1
384,12,-8.6
385,1,-10
386,2,-8.5
387,3,-9.6
388,4,-11.7
389,5,-3.3
390,6,1.8
391,7,4.6
392,8,3.4
393,9,1.1
394,10,-1.8
395,11,-6.6
396,12,-5.1
397,1,-10.7
398,2,-6.1
399,3,-11.1
400,4,-9
401,5,-3.4
402,6,1.9
403,7,4.6
404,8,3.8
405,9,1.5
406,10,-4.9
407,11,-10.9
408,12,-8.7
409,1,-9.7
410,2,-11.1
411,3,-12.5
412,4,-8.9
413,5,-4.5
414,6,1.3
415,7,5.4
416,8,4.8
417,9,2.3
418,10,-4.4
419,11,-9.4
420,12,-5.3
421,1,-1.8
422,2,-11
423,3,-14
424,4,-8.4
425,5,-3.5
426,6,2.2
427,7,3.9
428,8,4.6
429,9,1
430,10,-3.2
431,11,-8.3
432,12,-11.2
433,1,-15.5
434,2,-14
435,3,-13.1
436,4,-9
437,5,-5.1
438,6,1.1
439,7,3.8
440,8,2.8
441,9,1.8
442,10,-2.6
443,11,-11.1
444,12,-14
445,1,-15.3
446,2,-6.7
447,3,-7.8
448,4,-10.9
449,5,-4.2
450,6,1.4
451,7,3.5
452,8,3.2
453,9,-0.4
454,10,-6.7
455,11,-4.1
456,12,-3.5
457,1,-6.3
458,2,-9.6
459,3,-7.7
460,4,-5.9
461,5,-3.3
462,6,1.2
463,7,5.1
464,8,5.1
465,9,2.8
466,10,-0.3
467,11,-3.1
468,12,-11.4
469,1,-13.5
470,2,-6.7
471,3,-13.3
472,4,-11.6
473,5,-3.8
474,6,1.4
475,7,5
476,8,4.8
477,9,0.9
478,10,-3.6
479,11,-12.2
480,12,-12
481,1,-11.6
482,2,-14.1
483,3,-14.5
484,4,-9
485,5,-3.9
486,6,3.1
487,7,4.2
488,8,3.1
489,9,0.9
490,10,-2.9
491,11,-4.3
492,12,-10.8
493,1,-11.9
494,2,-10.4
495,3,-17.1
496,4,-11.2
497,5,-2.9
498,6,2.8
499,7,6
500,8,5.5
501,9,1
502,10,-1.4
503,11,-2.1
504,12,-5.5
505,1,-8.7
506,2,-6.2
507,3,-12.3
508,4,-7.8
509,5,-2.3
510,6,1
511,7,3.3
512,8,3.2
513,9,-0.7
514,10,-3.8
515,11,-3.9
516,12,-4.5
517,1,-14.9
518,2,-12.4
519,3,-10
520,4,-8.6
521,5,-6.3
522,6,0.1
523,7,2.4
524,8,2.4
525,9,1.6
526,10,-5.8
527,11,-12.1
528,12,-13
529,1,-10.6
530,2,-8.8
531,3,-12.9
532,4,-10.6
533,5,-6.1
534,6,-0.3
535,7,3.6
536,8,3.4
537,9,-1.4
538,10,-4.4
539,11,-3.8
540,12,-4.4
541,1,-7.5
542,2,-10.2
543,3,-10.6
544,4,-7.3
545,5,-3.3
546,6,1.3
547,7,4
548,8,3.7
549,9,0.5
550,10,-0.1
551,11,-6.4
552,12,-10.9
553,1,-7.9
554,2,-11.1
555,3,-14.5
556,4,-9.8
557,5,-3.4
558,6,0.5
559,7,3.6
560,8,4.7
561,9,1.2
562,10,-2.2
563,11,-5.8
564,12,-8.1
565,1,-14.8
566,2,-11.6
567,3,-12.6
568,4,-6.6
569,5,-0.6
570,6,2.6
571,7,5.5
572,8,5.3
573,9,1.7
574,10,0.4
575,11,-2
576,12,-5
577,1,-7.5
578,2,-13.2
579,3,-7.5
580,4,-5.3
581,5,-0.2
582,6,2.8
583,7,6.8
584,8,5.7
585,9,4.2
586,10,-5.7
587,11,-5.4
588,12,999.9
589,1,999.9
590,2,999.9
591,3,999.9
592,4,999.9
593,5,999.9
594,6,999.9
595,7,999.9
596,8,999.9
597,9,999.9
598,10,999.9
599,11,999.9
600,12,-12.3
601,1,-10.9
602,2,-12
603,3,-15.7
604,4,-10.3
605,5,-5.5
606,6,1.6
607,7,3.8
608,8,3.9
609,9,0.2
610,10,-2.4
611,11,-4.1
612,12,-12
613,1,-16.2
614,2,-19.4
615,3,-13.6
616,4,-11.2
617,5,-2.1
618,6,2
619,7,4.7
620,8,5.7
621,9,1.7
622,10,-0.4
623,11,-10
624,12,-11.7
625,1,-12.6
626,2,-12.6
627,3,-8
628,4,-9.6
629,5,-2.7
630,6,1.2
631,7,4.4
632,8,5.2
633,9,1.7
634,10,-2.5
635,11,-7.1
636,12,-5.7
637,1,-11.9
638,2,-11.1
639,3,-16.1
640,4,-6.2
641,5,-3.4
642,6,2.2
643,7,4.9
644,8,4.2
645,9,1.1
646,10,-3.8
647,11,-5.3
648,12,-9.8
649,1,-17.2
650,2,-14.4
651,3,-17.4
652,4,-7.5
653,5,-6.1
654,6,0.7
655,7,6.3
656,8,5.1
657,9,-0.5
658,10,-7.2
659,11,-9.4
660,12,-3.9
661,1,-17.8
662,2,-12.4
663,3,-9.8
664,4,-7.8
665,5,-2.5
666,6,2.3
667,7,5
668,8,4.4
669,9,1.9
670,10,-4.7
671,11,-5.4
672,12,-11.6
673,1,-12.7
674,2,-12.6
675,3,-15.4
676,4,-11.1
677,5,-3.8
678,6,1.2
679,7,4.4
680,8,4.4
681,9,-0.4
682,10,-11.1
683,11,-13.5
684,12,-17
685,1,-11.7
686,2,-13.9
687,3,-18.6
688,4,-14.9
689,5,-2.8
690,6,0.9
691,7,5.1
692,8,4.1
693,9,2.3
694,10,-1.1
695,11,-8.4
696,12,-8.4
697,1,-11.6
698,2,-14.9
699,3,-9.2
700,4,-11.7
701,5,-2.6
702,6,1.2
703,7,4.6
704,8,3.9
705,9,0.8
706,10,-2.9
707,11,-9.5
708,12,-11.1
709,1,-18.3
710,2,-8.9
711,3,-13.8
712,4,-10.2
713,5,-2.4
714,6,3
715,7,5.8
716,8,4.2
717,9,1
718,10,-5.7
719,11,-13.7
720,12,-9
721,1,-3
722,2,-8.6
723,3,-7.9
724,4,-9.8
725,5,-2.7
726,6,3.3
727,7,5.2
728,8,4.9
729,9,2.9
730,10,-2.6
731,11,-2.6
732,12,-6.9
733,1,-5.9
734,2,-12.9
735,3,-11.7
736,4,-6.7
737,5,-3.3
738,6,2.1
739,7,5
740,8,3.9
741,9,1
742,10,-5
743,11,-10.6
744,12,-13.6
745,1,-5.4
746,2,-8.9
747,3,-6.7
